,location_name,from,to
0,On S Vincennes Ave From W 103rd St To W 10600 S. Vincennes Ave,S Vincennes Ave And W 103rd St,S Vincennes Ave And W 10600 S. Vincennes Ave
1,On S Wallace St From W 58th St To W 59th St,S Wallace St And W 58th St,S Wallace St And W 59th St
2,On W Balmoral Ave From N California Ave To N North Shore Channel,W Balmoral Ave And N California Ave,W Balmoral Ave And N North Shore Channel
3,On W Belden Ave From N Kenneth Ave To N Kostner Ave,W Belden Ave And N Kenneth Ave,W Belden Ave And N Kostner Ave
4,6434-6534 W 60th St,6434 W 60th St,6534 W 60th St
5,S Paulina St And W 88th St,S Paulina St And W 88th St,
6,244-300 W 60th Pl,244 W 60th Pl,300 W 60th Pl
7,7632-7728 W Touhy Ave,7632 W Touhy Ave,7728 W Touhy Ave
8,2644-2924 E 128th St,2644 E 128th St,2924 E 128th St
9,On W 39th Pl From W 2800 To W 2708,2800 W 39th Pl,2708 W 39th Pl
10,834-870 E 88th Pl,834 E 88th Pl,870 E 88th Pl
11,S Lawndale Ave And W 32nd St,S Lawndale Ave And W 32nd St,
12,500-520 W 45th Pl,500 W 45th Pl,520 W 45th Pl
13,S Aberdeen St And W 107th St,S Aberdeen St And W 107th St,
14,On E 130th St From S Torrence Ave To S Brandon Ave,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave
15,On S Brandon Ave From E 130th St To S Brainard Ave,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave
16,On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Balmoral Ave
17,On W Foster Ave From N Wolcott Ave To N Ravenswood Ave,W Foster Ave And N Wolcott Ave,W Foster Ave And N Ravenswood Ave
18,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave
19,On E 77th St From S Blackstone Ave To S Dante Ave,E 77th St And S Blackstone Ave,E 77th St And S Dante Ave
20,On S Blackstone Ave From E 76th St To E 77th St,S Blackstone Ave And E 76th St,S Blackstone Ave And E 77th St
21,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave,N Lavergne Ave And W Lawrence Ave,N Lavergne Ave And W Montrose Ave
22,N Cicero Ave And W Lawrence Ave,N Cicero Ave And W Lawrence Ave,
23,On N Claremont Ave From W Eastwood Ave To W Wilson Ave,N Claremont Ave And W Eastwood Ave,N Claremont Ave And W Wilson Ave
24,On W Leland Ave From N Lincoln Ave To N Leavitt St,W Leland Ave And N Lincoln Ave,W Leland Ave And N Leavitt St
25,On W Lawrence Ave From N Oakley Ave To N Leavitt St,W Lawrence Ave And N Oakley Ave,W Lawrence Ave And N Leavitt St
26,On E 69th St From S Langley Ave To S St Lawrence Ave,E 69th St And S Langley Ave,E 69th St And S St Lawrence Ave
27,On S Langley Ave From E 68th St To E 67th St,S Langley Ave And E 68th St,S Langley Ave And E 67th St
28,On E 101st St From S Avenue N To S Ewing Ave,E 101st St And S Avenue N,E 101st St And S Ewing Ave
29,S Avenue J And E 99th St,S Avenue J And E 99th St,
30,On E 99th St From S Ewing Ave To S Avenue J,E 99th St And S Ewing Ave,E 99th St And S Avenue J
31,On E 100th St From S Avenue N To S Ewing Ave,E 100th St And S Avenue N,E 100th St And S Ewing Ave
32,On W 106th St From S Lowe Ave To S Wallace St,W 106th St And S Lowe Ave,W 106th St And S Wallace St
33,On W 109th St From S Ashland Ave To S Vincennes Ave,W 109th St And S Ashland Ave,W 109th St And S Vincennes Ave
34,On W 47th St From S Paulina St To S Honore St,W 47th St And S Paulina St,W 47th St And S Honore St
35,On W 52nd St From S Francisco Ave To S Richmond St,W 52nd St And S Francisco Ave,W 52nd St And S Richmond St
36,On W 52nd St From S Richmond St To S Sacramento Ave,W 52nd St And S Richmond St,W 52nd St And S Sacramento Ave
37,On W 53rd St From S Richmond St To S Kedzie Ave,W 53rd St And S Richmond St,W 53rd St And S Kedzie Ave
38,On W 58th St From S Halsted St To S Carpenter St,W 58th St And S Halsted St,W 58th St And S Carpenter St
39,On W 66th St From S Pulaski Rd To S Hamlin Ave,W 66th St And S Pulaski Rd,W 66th St And S Hamlin Ave
40,On W 77th St From S Ashland Ave To S Laflin St,W 77th St And S Ashland Ave,W 77th St And S Laflin St
41,On W 78th Pl From S Kedvale Ave To S Keeler Ave,W 78th Pl And S Kedvale Ave,W 78th Pl And S Keeler Ave
42,On W 81st St From S Kenneth Ave To S Kolmar Ave,W 81st St And S Kenneth Ave,W 81st St And S Kolmar Ave
43,On S Union Ave From W 106th St To W 105th St,S Union Ave And W 106th St,S Union Ave And W 105th St
44,On W Addison St From N Elston Ave To N Spaulding Ave,W Addison St And N Elston Ave,W Addison St And N Spaulding Ave
45,On W Arthington St From S Karlov Ave To S Keeler Ave,W Arthington St And S Karlov Ave,W Arthington St And S Keeler Ave
46,On W Barry Ave From N Drake Ave To N Gresham Ave,W Barry Ave And N Drake Ave,W Barry Ave And N Gresham Ave
47,On W Carmen Ave From N Central Park Ave To N Drake Ave,W Carmen Ave And N Central Park Ave,W Carmen Ave And N Drake Ave
48,On W Chase Ave From N Paulina St To N Clark St,W Chase Ave And N Paulina St,W Chase Ave And N Clark St
49,On W Lexington St From S Kilbourn Ave To S Kolmar Ave,W Lexington St And S Kilbourn Ave,W Lexington St And S Kolmar Ave
50,On W Palatine Ave From N Natoma Ave To N Newcastle Ave,W Palatine Ave And N Natoma Ave,W Palatine Ave And N Newcastle Ave
51,On W Palmer St From N Kilpatrick Ave To N Knox Ave,W Palmer St And N Kilpatrick Ave,W Palmer St And N Knox Ave
52,On W Polk St From S Pulaski Rd To S Karlov Ave,W Polk St And S Pulaski Rd,W Polk St And S Karlov Ave
53,On W Roscoe St From N Greenview Ave To N Bosworth Ave,W Roscoe St And N Greenview Ave,W Roscoe St And N Bosworth Ave
54,On W Roscoe St From N Marshfield Ave To N Bosworth Ave,W Roscoe St And N Marshfield Ave,W Roscoe St And N Bosworth Ave
55,On W Winona St From N Ravenswood Ave To N Paulina St,W Winona St And N Ravenswood Ave,W Winona St And N Paulina St
56,On W Argyle St From N California Ave To N Mozart St,W Argyle St And N California Ave,W Argyle St And N Mozart St
57,On S St Louis Ave From W 80th Pl To W 81st Pl,S St Louis Ave And W 80th Pl,S St Louis Ave And W 81st Pl
58,N Mayfield Ave And W Madison St,N Mayfield Ave And W Madison St,
59,On S Princeton Ave From W 59th St To W 59th Pl,S Princeton Ave And W 59th St,S Princeton Ave And W 59th Pl
60,On E 88th St From S East End Ave To S Constance Ave,E 88th St And S East End Ave,E 88th St And S Constance Ave
62,On N Bernard St From W Grace St To W Irving Park Rd,N Bernard St And W Grace St,N Bernard St And W Irving Park Rd
63,On N Davlin Ct From W Barry Ave To N Milwaukee Ave,N Davlin Ct And W Barry Ave,N Davlin Ct And N Milwaukee Ave
64,On N Drake Ave From W Carmen Ave To W Foster Ave,N Drake Ave And W Carmen Ave,N Drake Ave And W Foster Ave
65,On N Greenview Ave From W Henderson St To W Roscoe St,N Greenview Ave And W Henderson St,N Greenview Ave And W Roscoe St
66,On S St Louis Ave From W 75th St To W 76th St,S St Louis Ave And W 75th St,S St Louis Ave And W 76th St
67,On N Overhill Ave From W Birchwood Ave To W Howard St,N Overhill Ave And W Birchwood Ave,N Overhill Ave And W Howard St
68,On N Troy St From W Devon Ave To W Arthur Ave,N Troy St And W Devon Ave,N Troy St And W Arthur Ave
69,On N Washtenaw Ave From W Carmen Ave To W Winona St,N Washtenaw Ave And W Carmen Ave,N Washtenaw Ave And W Winona St
70,On S Aberdeen St From W 107th St To W 107th Pl,S Aberdeen St And W 107th St,S Aberdeen St And W 107th Pl
71,On S Ashland Ave From W 108th Pl To W 109th Pl,S Ashland Ave And W 108th Pl,S Ashland Ave And W 109th Pl
72,On N Leclaire Ave From W Diversey Ave To W Oakdale Ave,N Leclaire Ave And W Diversey Ave,N Leclaire Ave And W Oakdale Ave
73,On S Clark St From W 21st St To S Archer Ave,S Clark St And W 21st St,S Clark St And S Archer Ave
74,On S Damen Ave From W 83rd St To W 82nd St,S Damen Ave And W 83rd St,S Damen Ave And W 82nd St
75,On S Eggleston Ave From W 105th St To W 104th St,S Eggleston Ave And W 105th St,S Eggleston Ave And W 104th St
76,On S Green St From W 107th St To W 106th St,S Green St And W 107th St,S Green St And W 106th St
77,On S Hamlin Blvd From W Wilcox St To W Monroe St,S Hamlin Blvd And W Wilcox St,S Hamlin Blvd And W Monroe St
78,On S Hoyne Ave From W 71st Pl To W 73rd St,S Hoyne Ave And W 71st Pl,S Hoyne Ave And W 73rd St
79,On S Hoyne Ave From W 73rd St To W 72nd Pl,S Hoyne Ave And W 73rd St,S Hoyne Ave And W 72nd Pl
80,On S Karlov Ave From W Polk St To W Lexington St,S Karlov Ave And W Polk St,S Karlov Ave And W Lexington St
81,On S Kildare Ave From W Harrison St To W Flournoy St,S Kildare Ave And W Harrison St,S Kildare Ave And W Flournoy St
82,On S Mason Ave From W Arthington St To W Roosevelt Rd,S Mason Ave And W Arthington St,S Mason Ave And W Roosevelt Rd
83,On S Princeton Ave From W 59th Pl To W 60th Pl,S Princeton Ave And W 59th Pl,S Princeton Ave And W 60th Pl
84,On S Central Park Ave From W 75th St To W 78th St,S Central Park Ave And W 75th St,S Central Park Ave And W 78th St
85,On W 78th Pl From S Kedvale Ave To S Karlov Ave,W 78th Pl And S Kedvale Ave,W 78th Pl And S Karlov Ave
86,On W 73rd St From S Whipple St To S Kedzie Ave,W 73rd St And S Whipple St,W 73rd St And S Kedzie Ave
87,On W 58th St From S Peoria St To S Sangamon St,W 58th St And S Peoria St,W 58th St And S Sangamon St
88,On W 58th Pl From S Hamlin Ave To S Central Park Ave,W 58th Pl And S Hamlin Ave,W 58th Pl And S Central Park Ave
89,On W 106th St From S Green St To S Peoria St,W 106th St And S Green St,W 106th St And S Peoria St
90,On W 52nd St From S Kedzie Ave To S Troy St,W 52nd St And S Kedzie Ave,W 52nd St And S Troy St
91,On W 52nd St From S Albany Ave To S Whipple St,W 52nd St And S Albany Ave,W 52nd St And S Whipple St
92,On W 18th St From S Wentworth Ave To S Clark St,W 18th St And S Wentworth Ave,W 18th St And S Clark St
93,On W 107th St From S Morgan St To S Racine Ave,W 107th St And S Morgan St,W 107th St And S Racine Ave
94,On W 52nd St From S Troy St To S Albany Ave,W 52nd St And S Troy St,W 52nd St And S Albany Ave
